"id","postTitle","facebookUrl","profileId","profileName","date","text"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE2ODUwNjc5Mjg1NzQxMjY=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0JW41JGhNaqFcjx8H451Qr3aPWwufYDEPEn18FRUJu9kP64PpSbZnG2bvevTLZFiGl","RTduatiga Duaulu","2023-05-31T00:36:29.000Z","Cawe cawe
Lanjoooootttttt
Genjoooooott"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzkzNTg0NDA5MDg2OTQ1Mg==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","100092749698269","Suara Kita","2023-06-03T03:12:41.000Z","Apakah benar Jokowi Cawe-Cawe Soal pilpres 2024?

https://seputarsuarakita.blogspot.com/2023/06/jokowi-cawe-cawe-soal-2024.html"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzYxNzA2MzMxMDM1ODIzOA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0Ssbmp6cGGup3hdA89cip5Sf5w8eC4YUw3Zzf3D9HczqzorauoTGnG1RzgxVJfTK5l","Ibnu Kosim","2023-05-31T04:02:29.000Z","Logo halal Malu lihat logo ini"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzI1MjM3Mzc2MDgwMzczMQ==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:57:23.000Z","DI RUPIAH MU`DI AYAH JOKOWI SAYA NYA`"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzEyOTk3NTk3NTA3NDkzMzQ=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:47:21.000Z","PAK JOKOWI KU`TV MU`YANG LAYAR NYA MANJANGAN MELUASAN NYA*MEREQ POLYTRON KU*NYA`YANG MEMPUNYAI DI DESA KU NYINI NAN."
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzIxNTQ5NTcxNDY3MTI2MQ==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","100001331365665","Edy Khenchi Jomblomania","2023-05-31T19:31:33.000Z","Kayak logonya PAN n Muhammadiyah...."
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzIxODIwMTc5NzY4MDYyOA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:48:46.000Z","SAYANYA*SAMA TENGGA KANAN RERUMAH KU NYA* BAPAK MUHAMMAD DI JOKOWI KU NYA*YANG LAIN NAN NYEMUANAN TV.TABUNG MODEL DEDAHULUNE,,,"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1Xzc3Mzc3OTE1MTEyMTQ5Ng==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid02fwJKgDhZiBpMrvpg3djD874VZ445ttnNNW9WhuMzHbzX63ZWvYExfNNApPqzgYjHl","Ardiwae Ardiwae","2023-05-31T10:02:43.000Z","Heyyy jika memang presiden ini bodoh jangan lagi memilih nya... karena makin susah dan makin amburadul"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzgzMjI3MzM4MTg1MjQ2NA==","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","100070101932597","Bagong Delta","2023-05-30T23:28:07.000Z","Kursus Spirituwal Onlen Gratis
#klas paud
#klas pemula
#klas ecek-ecek
#klas woyo-woyo
#klas lanjut
#klas advanc
#klas matrix
#klas ra no apa-apane�

https://www.facebook.com/rebeltvchannel/videos/1925551234177850/?app=fbl

https://www.facebook.com/groups/333139647925785/permalink/936131537626590/?app=fbl

#jkw_lengser
#jkw_modyarr"
"Y29tbWVudDo2MjQ2NDkyNzAyMTMxMzc1XzE2ODE5NDM0MDIyNDEyMTU=","Presiden Jokowi akhirnya mengumumkan logo IKN Nusantara, Selasa (30/5). Logo ini dipilih dari 5 desain yang sebelumnya masuk nominasi. Logo yang terpilih bernama Pohon Hayat. Menurut Jokowi logo...","https://www.facebook.com/jawaposonline/photos/a.1803907996389890/6246492648798047/","pfbid0GwWxxG2CxuysxefihXNStJcGzSj8p47ptq9tJY7W9jRXi9CzQP1DmVkF1dcuYgxEl","Jum Aiyah","2023-05-31T14:52:52.000Z","RERUSAK .E,DI TABOI,DARI TETANGAN PUTU MU`RAMDHAN NAN QU NYA*"
